iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8685663868399227,2.8590268387514004,0.06755514705882353,39.023354291915894,False,,,1,cb9890de,c12a9869385145fda23a684034f9322e,2023-02-13_22-23-31,1676327011,39.023354291915894,20861,ML-RefVm-847530,10.0.0.13,39.023354291915894,0,1,0.007118701934814453
0,2.926218261905745,2.9362934897927677,0.08731617647058823,41.65946698188782,False,0,0,1,cb9890de,c12a9869385145fda23a684034f9322e,2023-02-13_22-28-33,1676327313,80.68282127380371,25956,ML-RefVm-847530,10.0.0.13,41.65946698188782,0,1,0.010286092758178711
1,2.705403659857956,2.3599967395558075,0.2035845588235294,37.51595139503479,False,0,0,2,cb9890de,c12a9869385145fda23a684034f9322e,2023-02-13_22-29-10,1676327350,118.1987726688385,25956,ML-RefVm-847530,10.0.0.13,79.17541837692261,0,2,0.010286092758178711
2,1.8689731990589815,1.547109232229345,0.5188419117647058,37.65709853172302,False,0,0,3,cb9890de,c12a9869385145fda23a684034f9322e,2023-02-13_22-29-48,1676327388,155.85587120056152,25956,ML-RefVm-847530,10.0.0.13,116.83251690864563,0,3,0.010286092758178711
