iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.872363001692529,2.8569478848401237,0.11764705882352941,45.66559410095215,False,,,1,ad157043,c12a9869385145fda23a684034f9322e,2023-02-13_22-25-56,1676327156,45.66559410095215,20861,ML-RefVm-847530,10.0.0.13,45.66559410095215,0,1,0.007118701934814453
0,2.871064733056461,2.8663782231947956,0.09466911764705882,45.47675180435181,False,0,0,1,ad157043,c12a9869385145fda23a684034f9322e,2023-02-13_22-30-47,1676327447,91.14234590530396,25958,ML-RefVm-847530,10.0.0.13,45.47675180435181,0,1,0.011350870132446289
1,2.4795159078111837,2.3009753647972557,0.19209558823529413,42.913103342056274,False,0,0,2,ad157043,c12a9869385145fda23a684034f9322e,2023-02-13_22-31-30,1676327490,134.05544924736023,25958,ML-RefVm-847530,10.0.0.13,88.38985514640808,0,2,0.011350870132446289
2,1.8325511287240421,1.3727585778516882,0.6006433823529411,43.44920587539673,False,0,0,3,ad157043,c12a9869385145fda23a684034f9322e,2023-02-13_22-32-14,1676327534,177.50465512275696,25958,ML-RefVm-847530,10.0.0.13,131.8390610218048,0,3,0.011350870132446289
