iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8821412722269693,2.835696907604442,0.0859375,44.54855704307556,False,,,1,42acdd72,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-26-39,1676327199,44.54855704307556,20778,ML-RefVm-847530,10.0.0.13,44.54855704307556,0,1,0.003731250762939453
0,2.858280294081744,2.5867693985209748,0.10753676470588236,46.721553802490234,False,0,0,1,42acdd72,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-31-26,1676327486,91.2701108455658,20858,ML-RefVm-847530,10.0.0.13,46.721553802490234,0,1,0.006505489349365234
1,2.4203323149213603,2.0870783048517563,0.29963235294117646,43.75125479698181,False,0,0,2,42acdd72,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-32-10,1676327530,135.0213656425476,20858,ML-RefVm-847530,10.0.0.13,90.47280859947205,0,2,0.006505489349365234
2,1.4593546717774635,1.3763862006804521,0.5597426470588235,33.48085069656372,False,0,0,3,42acdd72,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-32-44,1676327564,168.50221633911133,20858,ML-RefVm-847530,10.0.0.13,123.95365929603577,0,3,0.006505489349365234
