iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.888825818604114,2.85465474689708,0.08134191176470588,124.44581317901611,False,,,1,1696b61b,c309c9b8b4b54af597fbc0860297a0fe,2023-02-13_16-38-20,1676306300,124.44581317901611,139526,ML-RefVm-847530,10.0.0.13,124.44581317901611,0,1,0.005007266998291016
0,2.9064558019825055,2.817789582645192,0.08777573529411764,124.86873078346252,False,0,0,1,1696b61b,c309c9b8b4b54af597fbc0860297a0fe,2023-02-13_16-45-52,1676306752,249.31454396247864,139525,ML-RefVm-847530,10.0.0.13,124.86873078346252,0,1,0.006905794143676758
1,2.3075138844695746,2.3744367290945614,0.2743566176470588,125.21304869651794,False,0,0,2,1696b61b,c309c9b8b4b54af597fbc0860297a0fe,2023-02-13_16-47-57,1676306877,374.5275926589966,139525,ML-RefVm-847530,10.0.0.13,250.08177947998047,0,2,0.006905794143676758
2,1.5241597516863954,1.296414662809933,0.6208639705882353,106.58243799209595,False,0,0,3,1696b61b,c309c9b8b4b54af597fbc0860297a0fe,2023-02-13_16-49-44,1676306984,481.11003065109253,139525,ML-RefVm-847530,10.0.0.13,356.6642174720764,0,3,0.006905794143676758
