iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.860583927117142,2.843264579772949,0.09834558823529412,124.59488439559937,False,,,1,efe57657,ddba64347e494093809e1393fa86374f,2023-02-13_15-17-02,1676301422,124.59488439559937,84953,ML-RefVm-847530,10.0.0.13,124.59488439559937,0,1,0.006031036376953125
0,2.81639848503412,2.905151269015144,0.0974264705882353,129.5942566394806,False,0,0,1,efe57657,ddba64347e494093809e1393fa86374f,2023-02-13_15-27-03,1676302023,254.18914103507996,93480,ML-RefVm-847530,10.0.0.13,129.5942566394806,0,1,0.014988183975219727
1,2.3049477479037117,1.840047976549934,0.3805147058823529,133.28044319152832,False,0,0,2,efe57657,ddba64347e494093809e1393fa86374f,2023-02-13_15-29-16,1676302156,387.4695842266083,93480,ML-RefVm-847530,10.0.0.13,262.8746998310089,0,2,0.014988183975219727
2,1.413518107404896,1.1061195170178133,0.6750919117647058,102.20094132423401,False,0,0,3,efe57657,ddba64347e494093809e1393fa86374f,2023-02-13_15-30-59,1676302259,489.6705255508423,93480,ML-RefVm-847530,10.0.0.13,365.0756411552429,0,3,0.014988183975219727
