iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8828260758343864,2.810879020129933,0.09283088235294118,95.13031792640686,False,,,1,b38f0422,ddba64347e494093809e1393fa86374f,2023-02-13_15-13-26,1676301206,95.13031792640686,84953,ML-RefVm-847530,10.0.0.13,95.13031792640686,0,1,0.006031036376953125
0,2.8585327372831455,2.7889036851770737,0.1130514705882353,96.40828227996826,False,0,0,1,b38f0422,ddba64347e494093809e1393fa86374f,2023-02-13_15-20-37,1676301637,191.53860020637512,93518,ML-RefVm-847530,10.0.0.13,96.40828227996826,0,1,0.01245570182800293
1,2.1318056209414613,1.6199485344045303,0.49402573529411764,91.65484809875488,False,0,0,2,b38f0422,ddba64347e494093809e1393fa86374f,2023-02-13_15-22-09,1676301729,283.19344830513,93518,ML-RefVm-847530,10.0.0.13,188.06313037872314,0,2,0.01245570182800293
2,1.0354170191521739,1.0250276607625626,0.6787683823529411,91.37688565254211,False,0,0,3,b38f0422,ddba64347e494093809e1393fa86374f,2023-02-13_15-23-40,1676301820,374.5703339576721,93518,ML-RefVm-847530,10.0.0.13,279.44001603126526,0,3,0.01245570182800293
