iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.850872427809472,2.87892380882712,0.10110294117647059,27.05853295326233,False,,,1,e5b5406f,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-25-08,1676327108,27.05853295326233,20778,ML-RefVm-847530,10.0.0.13,27.05853295326233,0,1,0.003731250762939453
0,2.945265480116302,2.967199409709257,0.06525735294117647,27.303728818893433,False,0,0,1,e5b5406f,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-30-23,1676327423,54.36226177215576,25978,ML-RefVm-847530,10.0.0.13,27.303728818893433,0,1,0.012978076934814453
1,2.794822286157047,2.862427220625036,0.08134191176470588,25.329429388046265,False,0,0,2,e5b5406f,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-30-48,1676327448,79.69169116020203,25978,ML-RefVm-847530,10.0.0.13,52.6331582069397,0,2,0.012978076934814453
2,2.233781744452084,1.8528316091088688,0.4195772058823529,25.91654896736145,False,0,0,3,e5b5406f,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-31-14,1676327474,105.60824012756348,25978,ML-RefVm-847530,10.0.0.13,78.54970717430115,0,3,0.012978076934814453
