iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.840268653981826,2.5146196169011734,0.13740808823529413,85.45576405525208,False,,,1,5f490506,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-04-27,1676333067,85.45576405525208,74717,ML-RefVm-847530,10.0.0.13,85.45576405525208,0,1,0.004143476486206055
0,2.9318308643266264,2.897415133083568,0.10202205882352941,91.82313871383667,False,0,0,1,5f490506,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-09-27,1676333367,177.27890276908875,79876,ML-RefVm-847530,10.0.0.13,91.82313871383667,0,1,0.012654304504394531
1,2.5639813507304474,2.6457886695861816,0.18244485294117646,88.9618890285492,False,0,0,2,5f490506,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-10-56,1676333456,266.24079179763794,79876,ML-RefVm-847530,10.0.0.13,180.78502774238586,0,2,0.012654304504394531
2,1.8844370257620717,1.5363538124982048,0.5225183823529411,88.21635150909424,False,0,0,3,5f490506,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-12-24,1676333544,354.4571433067322,79876,ML-RefVm-847530,10.0.0.13,269.0013792514801,0,3,0.012654304504394531
