iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8960619814255657,2.89224715793834,0.09053308823529412,88.14143133163452,False,,,1,c43f5032,08ba8ff4edd34ecb9e970e5f27f380e7,2023-02-13_16-36-33,1676306193,88.14143133163452,139525,ML-RefVm-847530,10.0.0.13,88.14143133163452,0,1,0.006905794143676758
0,2.931445846370622,3.0427447767818676,0.08685661764705882,88.48067665100098,False,0,0,1,c43f5032,08ba8ff4edd34ecb9e970e5f27f380e7,2023-02-13_16-43-45,1676306625,176.6221079826355,146401,ML-RefVm-847530,10.0.0.13,88.48067665100098,0,1,0.010082483291625977
1,2.667085988848817,2.5024686280418846,0.16130514705882354,83.65294289588928,False,0,0,2,c43f5032,08ba8ff4edd34ecb9e970e5f27f380e7,2023-02-13_16-45-09,1676306709,260.2750508785248,146401,ML-RefVm-847530,10.0.0.13,172.13361954689026,0,2,0.010082483291625977
2,1.823300090490603,1.523988779853372,0.49172794117647056,86.69707489013672,False,0,0,3,c43f5032,08ba8ff4edd34ecb9e970e5f27f380e7,2023-02-13_16-46-35,1676306795,346.9721257686615,146401,ML-RefVm-847530,10.0.0.13,258.830694437027,0,3,0.010082483291625977
